English,Japanese
so that ~ can ...,〜が・・・できるように
so ~ that ...,とても〜なので・・・
speak to ~,〜に話しかける
stay with ~,〜の家に泊まる
stay at ~,〜に泊まる
stand up,立つ
stop ~ ing,〜をやめる
such as ~,〜のような
suffer from ~,〜で苦しむ
take care of ~,〜の世話をする
take a picture,写真を撮る
take off ~,"〜を取り去る,離陸する"
take out ~,"〜を取り出す,連れ出す"
talk to ~,〜に話しかける
talk with ~,〜と話す
talk about ~,〜について話す
take a walk,散歩する
take in ~,〜を取り入れる
take ~ to...,〜を・・・へ連れて行く
take part in ~,〜に参加する
tell ~ to ...,〜に・・・するよう言う
think of ~,〜を思いつく
think about ~,〜について考える
thank ~ for ...,〜に・・・を感謝する
thanks to ~,〜のおかげで
That's too bad.,それはいけませんね。
That's right.,そのとおりです。
the other day,先日
The number of ~,〜の数 （単数扱い）
the next day,その翌日
They say ~,〜だそうです。
thousands of ~,何千もの
this time,今度は
This way,この方法で
throw away ~,〜を投げ捨てる
too ~ to ...,・・・するには〜すぎる
try to ~,〜しようと努める
turn down ~,音を下げる
turn off ~,（明かりなど）〜を消す
turn on ~,〜をつける
wake up,目が覚める
wait for ~,〜を待つ
walk around,あちこち歩き回る
want ~ to ...,〜に・・・してもらいたい
What to ~,何を〜したらよいか
What's up ?,どうしたの。
What about ~ ?,〜はどうですか。
What kind of ~ ?,どんな種類の〜？
What's wrong ?,どこか悪いのですか。
What do you mean?,どういう意味ですか。
Why don't you ~ ?,〜しませんか。
Why don't we ~ ?,いっしょに〜しよう。
Why not ?,もちろんだよ。
Will you ~ ?,〜してくれませんか。
with a smile,ほほえみながら
without ~ ing,〜しないで
worry about ~,〜を心配する
would like to ~,〜したいと思う
Would you like to~?,〜しませんか。
Would you like ~ ?,〜はいかがですか。
would like ~,〜をいただきたい
write to ~,〜に手紙を書く
~ years old,〜歳
You are welcome.,どういたしまして。
You know.,ねえ。あのう。
You see.,いいですか。
